,head,relation,tail
70,00022686,_derivationally_related_form,04320126
71,00022686,_derivationally_related_form,04836683
72,00022686,_derivationally_related_form,05035961
73,00022686,_derivationally_related_form,11452218
74,00022686,_derivationally_related_form,14050143
75,00023100,_hypernym,00002137
76,00023271,_hypernym,00023100
77,00023773,_derivationally_related_form,01649999
78,00023773,_derivationally_related_form,02766328
79,00023773,_hypernym,00023100
80,00024720,_hypernym,00024264
81,00026192,_hypernym,00024720
82,00028565,_derivationally_related_form,05601357
83,00029378,_hypernym,00023100
84,00029677,_hypernym,00001930
85,00030358,_derivationally_related_form,01643657
86,00030358,_derivationally_related_form,01649999
87,00030358,_hypernym,00029378
88,00031921,_derivationally_related_form,00713167
89,00031921,_derivationally_related_form,02724417
90,00031921,_derivationally_related_form,13780719
91,00031921,_derivationally_related_form,13928388
92,00031921,_hypernym,00002137
93,00033020,_derivationally_related_form,00740577
94,00033020,_derivationally_related_form,00742320
95,00033020,_derivationally_related_form,00760402
96,00033020,_derivationally_related_form,01070102
97,00033615,_derivationally_related_form,00647094
98,00033615,_derivationally_related_form,00681429
99,00033615,_hypernym,00002137
100,00035189,_hypernym,00037396
101,00036762,_hypernym,00035189
102,00037396,_derivationally_related_form,02367363
103,00037396,_hypernym,00030358
104,00037457,_derivationally_related_form,14006945
105,00037457,_synset_domain_topic_of,06060845
106,00038750,_derivationally_related_form,04635104
107,00038750,_derivationally_related_form,14006945
108,00040325,_derivationally_related_form,13518963
109,00040325,_synset_domain_topic_of,09470550
110,00041188,_derivationally_related_form,01079480
111,00041188,_derivationally_related_form,02418421
112,00041188,_derivationally_related_form,02418686
113,00041188,_hypernym,00037396
114,00042311,_derivationally_related_form,00770437
115,00042311,_derivationally_related_form,01645601
116,00042311,_hypernym,00030358
117,00042457,_derivationally_related_form,14006945
118,00043195,_derivationally_related_form,00721437
119,00043195,_derivationally_related_form,01637982
120,00043195,_derivationally_related_form,02128066
121,00043195,_derivationally_related_form,02154508
122,00043195,_derivationally_related_form,02248465
123,00043195,_hypernym,00030358
124,00043411,_derivationally_related_form,13518963
125,00043411,_derivationally_related_form,14006945
126,00043411,_synset_domain_topic_of,06095022
127,00043902,_derivationally_related_form,01111816
128,00043902,_derivationally_related_form,01405044
129,00043902,_hypernym,00036762
130,00044150,_derivationally_related_form,01642924
131,00044150,_derivationally_related_form,02408965
132,00045250,_hypernym,00030358
133,00045646,_derivationally_related_form,01381549
134,00045646,_hypernym,00036762
135,00046522,_derivationally_related_form,01206849
136,00046522,_hypernym,00030358
137,00050693,_derivationally_related_form,00003553
138,00050693,_derivationally_related_form,00426581
139,00050693,_derivationally_related_form,00528990
140,00050693,_derivationally_related_form,01990694
141,00050693,_derivationally_related_form,02625016
142,00055315,_hypernym,00053913
143,00055633,_derivationally_related_form,02073714
144,00055633,_hypernym,00055315
145,00064479,_also_see,01870889
146,00064479,_similar_to,00065184
147,00069295,_derivationally_related_form,05327767
148,00070641,_derivationally_related_form,01649999
149,00070641,_derivationally_related_form,02766328
150,00070641,_hypernym,00030358
151,00076341,_derivationally_related_form,00796976
152,00076341,_derivationally_related_form,00807178
153,00082241,_also_see,01244410
154,00082241,_derivationally_related_form,04837232
155,00091968,_derivationally_related_form,14548343
156,00095971,_derivationally_related_form,00167934
157,00095971,_derivationally_related_form,00384620
158,00099951,_derivationally_related_form,10280674
159,00099951,_hypernym,00550771
160,00100543,_derivationally_related_form,00938247
161,00100543,_derivationally_related_form,01686132
162,00100543,_derivationally_related_form,01732172
163,00103834,_derivationally_related_form,01506157
164,00103834,_derivationally_related_form,02062212
165,00103834,_hypernym,00045250
166,00104539,_derivationally_related_form,01508368
167,00104539,_hypernym,00045250
168,00105479,_derivationally_related_form,01507143
169,00105479,_derivationally_related_form,01632897
170,00109660,_derivationally_related_form,03005920
171,00109660,_derivationally_related_form,07296428
172,00109660,_derivationally_related_form,11412727
173,00112312,_derivationally_related_form,01447632
174,00112312,_derivationally_related_form,01871979
175,00112312,_derivationally_related_form,01872645
176,00112312,_derivationally_related_form,01872877
177,00112312,_hypernym,00045250
178,00113113,_derivationally_related_form,01387786
179,00113113,_derivationally_related_form,01390616
180,00113113,_derivationally_related_form,01447257
181,00113113,_derivationally_related_form,01447632
182,00113113,_derivationally_related_form,01754105
183,00113113,_hypernym,00112312
184,00113726,_derivationally_related_form,01871680
185,00113726,_derivationally_related_form,02094569
186,00113726,_hypernym,00112312
187,00114431,_derivationally_related_form,01448100
188,00114431,_derivationally_related_form,01505254
189,00114431,_hypernym,00045250
190,00115036,_derivationally_related_form,01452255
191,00115036,_derivationally_related_form,01454810
192,00115036,_hypernym,00114431
193,00115667,_derivationally_related_form,01448100
194,00115667,_hypernym,00114431
195,00116619,_derivationally_related_form,06367373
196,00116619,_hypernym,00115157
197,00116687,_hypernym,00045250
198,00118523,_derivationally_related_form,05051896
199,00118523,_hypernym,02604760
200,00121366,_derivationally_related_form,01435380
201,00123170,_derivationally_related_form,00191142
202,00123170,_derivationally_related_form,02504131
203,00123170,_derivationally_related_form,03005920
204,00123170,_derivationally_related_form,05840650
205,00123170,_derivationally_related_form,07296428
206,00123170,_derivationally_related_form,11412727
207,00123170,_derivationally_related_form,13859043
208,00124880,_hypernym,00046522
209,00125629,_derivationally_related_form,01137138
210,00125629,_derivationally_related_form,01152396
211,00125629,_derivationally_related_form,01236164
212,00125629,_derivationally_related_form,01400044
213,00125629,_derivationally_related_form,01405044
214,00125629,_hypernym,00046522
215,00125841,_derivationally_related_form,07324673
216,00125841,_derivationally_related_form,07423365
217,00125841,_hypernym,00109660
218,00126264,_derivationally_related_form,00191142
219,00126264,_derivationally_related_form,00199707
220,00126264,_derivationally_related_form,03005920
221,00126264,_derivationally_related_form,07296428
222,00126264,_derivationally_related_form,09609871
223,00126264,_derivationally_related_form,13859043
224,00131018,_derivationally_related_form,03398467
225,00131018,_derivationally_related_form,08573472
226,00135311,_hypernym,00046522
227,00135504,_derivationally_related_form,01147060
228,00135952,_derivationally_related_form,01230555
229,00137313,_derivationally_related_form,11414411
230,00137313,_hypernym,00126264
231,00138956,_derivationally_related_form,01439190
232,00138956,_derivationally_related_form,02304648
233,00140123,_hypernym,00109660
234,00141806,_derivationally_related_form,00661824
235,00141806,_derivationally_related_form,00662589
236,00141806,_derivationally_related_form,00663353
237,00141806,_derivationally_related_form,02658283
238,00142191,_derivationally_related_form,03385117
239,00142191,_derivationally_related_form,04184435
240,00142191,_derivationally_related_form,04677514
241,00142191,_derivationally_related_form,05064037
242,00142191,_derivationally_related_form,05930736
243,00142191,_derivationally_related_form,10284064
244,00142191,_hypernym,00126264
245,00146138,_also_see,00205598
246,00146138,_also_see,01808626
247,00146138,_derivationally_related_form,07423365
248,00146138,_verb_group,02626604
249,00151087,_derivationally_related_form,02154312
250,00151087,_derivationally_related_form,02154508
251,00151087,_hypernym,00043195
252,00151497,_derivationally_related_form,00920336
253,00151497,_derivationally_related_form,02154508
254,00151497,_hypernym,00043195
255,00155143,_derivationally_related_form,07370410
256,00155298,_hypernym,00151497
257,00156390,_derivationally_related_form,00539546
258,00156390,_derivationally_related_form,01643657
259,00156390,_hypernym,00042311
260,00156625,_derivationally_related_form,00771961
261,00156625,_derivationally_related_form,00851239
262,00156625,_derivationally_related_form,02585050
263,00156812,_derivationally_related_form,02506546
264,00156812,_hypernym,00042311
265,00157081,_derivationally_related_form,00701040
266,00157957,_derivationally_related_form,00137313
267,00157957,_derivationally_related_form,02569790
268,00157957,_hypernym,00157081
269,00158804,_derivationally_related_form,01014990
270,00159177,_derivationally_related_form,00770437
271,00159177,_derivationally_related_form,01644050
272,00159177,_hypernym,00042311
273,00159620,_derivationally_related_form,00776523
274,00159620,_derivationally_related_form,00782527
275,00159620,_hypernym,00157081
276,00161243,_derivationally_related_form,00674607
277,00161243,_derivationally_related_form,00676450
278,00161243,_hypernym,00037396
279,00162632,_derivationally_related_form,00699815
280,00162632,_derivationally_related_form,00763399
281,00162632,_hypernym,00161243
282,00163592,_derivationally_related_form,02170427
283,00164345,_derivationally_related_form,00740053
284,00164345,_hypernym,01083077
285,00165942,_derivationally_related_form,00014549
286,00165942,_derivationally_related_form,02367363
287,00165942,_hypernym,00162632
288,00166146,_derivationally_related_form,01807882
289,00166172,_derivationally_related_form,01076615
290,00166172,_synset_domain_topic_of,00455599
291,00167934,_derivationally_related_form,00095971
292,00167934,_derivationally_related_form,00261405
293,00167934,_hypernym,00205046
294,00167934,_verb_group,00384620
295,00168658,_derivationally_related_form,01855606
296,00168658,_hypernym,00191142
297,00169806,_derivationally_related_form,00199707
298,00169806,_derivationally_related_form,07296428
299,00169806,_derivationally_related_form,09609871
300,00169806,_hypernym,00109660
301,00170156,_derivationally_related_form,01131197
302,00170156,_derivationally_related_form,01506157
303,00170156,_derivationally_related_form,04781349
304,00171586,_hypernym,00205885
305,00171590,_derivationally_related_form,00726300
306,00171852,_hypernym,00205885
307,00173159,_derivationally_related_form,02670186
308,00173159,_derivationally_related_form,02670683
309,00173159,_hypernym,00171586
310,00173338,_also_see,00641252
311,00173338,_derivationally_related_form,00391599
312,00173338,_derivationally_related_form,15003969
313,00181781,_derivationally_related_form,02400760
314,00181781,_hypernym,00182213
315,00185857,_derivationally_related_form,02840619
316,00190999,_derivationally_related_form,13426376
317,00190999,_derivationally_related_form,14841267
318,00190999,_hypernym,00126264
319,00191142,_derivationally_related_form,00123170
320,00191142,_hypernym,00037396
321,00191980,_derivationally_related_form,01457954
322,00198451,_hypernym,00191142
323,00198631,_derivationally_related_form,00679389
324,00198631,_derivationally_related_form,02400037
325,00198631,_hypernym,00198451
326,00199130,_hypernym,00191142
327,00199707,_derivationally_related_form,00126264
328,00199707,_derivationally_related_form,00169806
329,00199707,_derivationally_related_form,01667132
330,00199707,_hypernym,00191142
331,00201671,_derivationally_related_form,01435380
332,00201671,_derivationally_related_form,02232190
333,00201671,_hypernym,00199130
334,00202284,_hypernym,00037396
335,00203342,_derivationally_related_form,00807178
336,00203342,_derivationally_related_form,02237338
337,00203342,_hypernym,00030358
338,00204943,_derivationally_related_form,02073714
339,00204943,_synset_domain_topic_of,06148148
340,00205046,_derivationally_related_form,00261029
341,00205046,_derivationally_related_form,05143690
342,00205046,_derivationally_related_form,07357388
343,00205046,_hypernym,00146138
344,00205046,_verb_group,00205885
345,00205349,_derivationally_related_form,00796976
346,00205349,_derivationally_related_form,02502916
347,00205349,_hypernym,00203342
348,00205598,_hypernym,00205046
349,00205885,_derivationally_related_form,00248977
350,00205885,_derivationally_related_form,00261029
351,00205885,_derivationally_related_form,02679415
352,00205885,_derivationally_related_form,05143690
353,00205885,_derivationally_related_form,10191613
354,00205885,_derivationally_related_form,14422179
355,00205885,_hypernym,00126264
356,00205885,_verb_group,00205046
357,00207418,_derivationally_related_form,13920835
358,00207418,_hypernym,00205885
359,00212173,_derivationally_related_form,05254795
360,00218045,_derivationally_related_form,01661804
361,00235435,_derivationally_related_form,00345761
362,00235435,_derivationally_related_form,00348746
363,00235435,_derivationally_related_form,01075164
364,00235435,_derivationally_related_form,01628449
365,00235435,_derivationally_related_form,01650610
366,00235435,_derivationally_related_form,02379528
367,00235435,_derivationally_related_form,02600948
368,00235435,_hypernym,00199130
369,00237078,_derivationally_related_form,00404642
370,00237078,_derivationally_related_form,01647229
371,00237078,_derivationally_related_form,01651444
372,00237078,_derivationally_related_form,01659248
373,00237078,_derivationally_related_form,02427103
374,00237078,_derivationally_related_form,02434238
375,00237078,_derivationally_related_form,02448185
376,00237078,_hypernym,00235435
377,00237869,_derivationally_related_form,01753788
378,00237869,_instance_hypernym,00235435
379,00237869,_synset_domain_topic_of,06182144
380,00238022,_hypernym,00235435
381,00238527,_derivationally_related_form,00829761
382,00238527,_derivationally_related_form,01644050
383,00238527,_derivationally_related_form,01644522
384,00239230,_derivationally_related_form,01077887
385,00239230,_derivationally_related_form,02425462
386,00239230,_derivationally_related_form,02426171
387,00239230,_hypernym,00235435
388,00239910,_derivationally_related_form,01650610
389,00239910,_derivationally_related_form,02395782
390,00239910,_hypernym,00235435
391,00240184,_derivationally_related_form,01628449
392,00240184,_derivationally_related_form,01641914
393,00240184,_derivationally_related_form,01642437
394,00240184,_derivationally_related_form,01647229
395,00240184,_derivationally_related_form,01753788
396,00240184,_derivationally_related_form,02348568
397,00240184,_derivationally_related_form,02427103
398,00240184,_hypernym,00235435
399,00242583,_derivationally_related_form,02434238
400,00242583,_hypernym,00237078
401,00242808,_derivationally_related_form,01759326
402,00242808,_derivationally_related_form,01762528
403,00242808,_hypernym,00199130
404,00243373,_derivationally_related_form,02395782
405,00243373,_has_part,07240077
406,00248659,_derivationally_related_form,00282050
407,00248659,_derivationally_related_form,07357388
408,00248977,_derivationally_related_form,00205885
409,00248977,_hypernym,00199130
410,00257535,_derivationally_related_form,05555917
411,00257535,_hypernym,00256507
412,00258854,_hypernym,00248977
413,00261029,_derivationally_related_form,00205046
414,00261029,_derivationally_related_form,00205885
415,00261029,_hypernym,00248977
416,00261405,_derivationally_related_form,00167934
417,00261405,_derivationally_related_form,00384620
418,00265386,_derivationally_related_form,00095971
419,00265386,_derivationally_related_form,00800940
420,00270215,_derivationally_related_form,01156438
421,00270215,_derivationally_related_form,01230283
422,00270215,_hypernym,01380638
423,00270826,_derivationally_related_form,04294426
424,00279835,_derivationally_related_form,01835496
425,00279835,_derivationally_related_form,01850315
426,00279835,_derivationally_related_form,01855606
427,00279835,_hypernym,00191142
428,00280586,_derivationally_related_form,01850315
429,00280586,_hypernym,00191142
430,00282050,_derivationally_related_form,00248659
431,00282050,_derivationally_related_form,00558371
432,00282050,_derivationally_related_form,01993926
433,00282050,_derivationally_related_form,01995549
434,00283127,_derivationally_related_form,01835496
435,00283127,_derivationally_related_form,02994448
436,00283127,_hypernym,00279835
437,00290276,_derivationally_related_form,01864634
438,00290276,_derivationally_related_form,02062212
439,00290276,_hypernym,00279835
440,00295701,_derivationally_related_form,01845720
441,00295701,_derivationally_related_form,01846916
442,00295701,_derivationally_related_form,02102002
443,00295701,_hypernym,00279835
444,00298497,_derivationally_related_form,01512259
445,00298497,_derivationally_related_form,01930874
446,00298497,_hypernym,00295701
447,00300441,_hypernym,00295701
448,00302394,_derivationally_related_form,01451842
449,00302394,_derivationally_related_form,01840238
450,00302394,_derivationally_related_form,01847845
451,00302394,_derivationally_related_form,01940403
452,00302394,_derivationally_related_form,01941093
453,00306426,_derivationally_related_form,01845720
454,00306426,_derivationally_related_form,01846916
455,00306426,_hypernym,00295701
456,00308370,_derivationally_related_form,01843055
457,00308370,_hypernym,00306426
458,00311809,_derivationally_related_form,01843055
459,00311809,_derivationally_related_form,10596689
460,00315986,_derivationally_related_form,01433294
461,00315986,_derivationally_related_form,01435380
462,00315986,_derivationally_related_form,01449974
463,00315986,_derivationally_related_form,02232190
464,00315986,_has_part,00319176
465,00315986,_hypernym,00280586
466,00318035,_derivationally_related_form,02230772
467,00318735,_derivationally_related_form,01449974
468,00318735,_derivationally_related_form,01601234
469,00318735,_derivationally_related_form,02700867
470,00324384,_derivationally_related_form,01968569
471,00324384,_derivationally_related_form,02644050
472,00325110,_derivationally_related_form,00433232
473,00325110,_derivationally_related_form,01921964
474,00327031,_derivationally_related_form,00006484
475,00327031,_derivationally_related_form,08358594
476,00327031,_synset_domain_topic_of,00004475
477,00331950,_derivationally_related_form,01831531
478,00334509,_derivationally_related_form,00992041
479,00334935,_derivationally_related_form,01229976
480,00334935,_derivationally_related_form,01230241
481,00334935,_derivationally_related_form,01230555
482,00334935,_derivationally_related_form,02062212
483,00336922,_derivationally_related_form,09258715
484,00336922,_derivationally_related_form,13907272
485,00337210,_derivationally_related_form,01864634
486,00337210,_hypernym,00331950
487,00338641,_derivationally_related_form,01346003
488,00338641,_hypernym,00331950
489,00339464,_hypernym,00339934
490,00339934,_derivationally_related_form,07283608
491,00339934,_derivationally_related_form,07314277
492,00342980,_hypernym,00339934
493,00342980,_verb_group,02624263
494,00344040,_derivationally_related_form,01345109
495,00344040,_derivationally_related_form,01346978
496,00344040,_derivationally_related_form,01423285
497,00344040,_derivationally_related_form,01478423
498,00344040,_hypernym,00331950
499,00345761,_derivationally_related_form,07325190
500,00345761,_derivationally_related_form,10355449
501,00345761,_derivationally_related_form,10363913
502,00345761,_derivationally_related_form,15265518
503,00345761,_verb_group,01070777
504,00347610,_derivationally_related_form,09821253
505,00347610,_hypernym,00345761
506,00348746,_derivationally_related_form,00235435
507,00348746,_derivationally_related_form,07290905
508,00348746,_derivationally_related_form,07325190
509,00348746,_derivationally_related_form,10107303
510,00348746,_derivationally_related_form,15265518
511,00348746,_verb_group,02609203
512,00349369,_hypernym,00331950
513,00351824,_derivationally_related_form,15271417
514,00357275,_derivationally_related_form,01592456
515,00366858,_derivationally_related_form,13572436
516,00366858,_derivationally_related_form,15055633
517,00367685,_derivationally_related_form,00381680
518,00367685,_derivationally_related_form,01238424
519,00367685,_derivationally_related_form,05869857
520,00367685,_derivationally_related_form,07373602
521,00367685,_hypernym,00467451
522,00367976,_derivationally_related_form,00968211
523,00367976,_derivationally_related_form,01378556
524,00367976,_derivationally_related_form,01380122
525,00367976,_derivationally_related_form,02060141
526,00367976,_derivationally_related_form,02082690
527,00367976,_derivationally_related_form,02689299
528,00368109,_derivationally_related_form,00003553
529,00368109,_derivationally_related_form,05869857
530,00368109,_derivationally_related_form,09465459
531,00368109,_derivationally_related_form,13810323
532,00368109,_hypernym,00654625
533,00368592,_derivationally_related_form,02030424
534,00368592,_derivationally_related_form,02060141
535,00368592,_hypernym,00367976
536,00376063,_hypernym,00191142
537,00377169,_derivationally_related_form,01259691
538,00377169,_derivationally_related_form,02469274
539,00377169,_hypernym,00376400
540,00383390,_derivationally_related_form,01346003
541,00383390,_derivationally_related_form,01346804
542,00383390,_hypernym,00376063
543,00383606,_derivationally_related_form,01556921
544,00383606,_hypernym,00376063
545,00384620,_derivationally_related_form,00095971
546,00384620,_derivationally_related_form,00258854
547,00384620,_verb_group,00167934
548,00385791,_hypernym,00383606
549,00386915,_derivationally_related_form,01552519
550,00386915,_hypernym,00385791
551,00387657,_hypernym,00383390
552,00388065,_derivationally_related_form,00007846
553,00388065,_derivationally_related_form,01322509
554,00388065,_derivationally_related_form,01322675
555,00388065,_hypernym,00387657
556,00397760,_derivationally_related_form,01548718
557,00403149,_derivationally_related_form,11495041
558,00403401,_derivationally_related_form,11495041
559,00403609,_hypernym,00126264
560,00404222,_hypernym,00404642
561,00404642,_derivationally_related_form,00237078
562,00404642,_derivationally_related_form,01008378
563,00404642,_derivationally_related_form,03918737
564,00404642,_derivationally_related_form,05726596
565,00404642,_derivationally_related_form,09963914
566,00404642,_derivationally_related_form,10383237
567,00404642,_hypernym,01463963
568,00407090,_derivationally_related_form,02713372
569,00419644,_derivationally_related_form,01789514
570,00419644,_hypernym,00418025
571,00426581,_derivationally_related_form,07324673
572,00426928,_derivationally_related_form,02418421
573,00426928,_derivationally_related_form,02492362
574,00426928,_hypernym,00407535
575,00429048,_derivationally_related_form,02492362
576,00429048,_hypernym,00426928
577,00429322,_derivationally_related_form,01883716
578,00429322,_hypernym,00426928
579,00431552,_derivationally_related_form,02375131
580,00431893,_hypernym,00426928
581,00433232,_derivationally_related_form,00325110
582,00433232,_derivationally_related_form,07370410
583,00439343,_derivationally_related_form,02670186
584,00439343,_derivationally_related_form,15282696
585,00439343,_hypernym,00126264
586,00439826,_hypernym,00523513
587,00442267,_derivationally_related_form,13486270
588,00442267,_derivationally_related_form,13572436
589,00442267,_derivationally_related_form,14481080
590,00442267,_derivationally_related_form,14686913
591,00442267,_derivationally_related_form,14841267
592,00442267,_derivationally_related_form,14877585
593,00442267,_derivationally_related_form,15055633
594,00442267,_hypernym,00140123
595,00445802,_derivationally_related_form,01419982
596,00445802,_derivationally_related_form,01420765
597,00446493,_derivationally_related_form,01090335
598,00463246,_has_part,15256915
599,00463246,_hypernym,00455599
600,00463246,_hypernym,00523513
601,00463543,_hypernym,00433458
602,00463543,_hypernym,00463246
603,00468480,_hypernym,00433458
604,00479076,_hypernym,00463246
605,00482298,_has_part,00566298
606,00482298,_hypernym,00479076
607,00483801,_derivationally_related_form,01012712
608,00483801,_derivationally_related_form,14417146
609,00483801,_hypernym,01556921
610,00488770,_derivationally_related_form,04526241
611,00492677,_also_see,02111684
612,00503164,_derivationally_related_form,01260867
613,00503164,_derivationally_related_form,05827684
614,00511817,_derivationally_related_form,01883716
615,00511817,_derivationally_related_form,01967104
616,00511817,_hypernym,00426928
617,00512487,_derivationally_related_form,01072262
618,00512487,_derivationally_related_form,04837425
619,00523513,_derivationally_related_form,01883716
620,00523513,_hypernym,00426928
621,00528990,_derivationally_related_form,00050693
622,00532607,_derivationally_related_form,00002684
623,00532607,_hypernym,00126264
624,00539546,_derivationally_related_form,00156390
625,00539546,_hypernym,01628449
626,00550282,_also_see,00684480
627,00550282,_derivationally_related_form,00634472
628,00557588,_derivationally_related_form,01079873
629,00557588,_derivationally_related_form,01080064
630,00557588,_hypernym,05902545
631,00558371,_derivationally_related_form,00282050
632,00558371,_hypernym,00205885
633,00562398,_derivationally_related_form,01476483
634,00562398,_derivationally_related_form,01478002
635,00565302,_synset_domain_topic_of,00523513
636,00566135,_hypernym,00565302
637,00567044,_derivationally_related_form,01509584
638,00567044,_derivationally_related_form,01512259
639,00567044,_hypernym,00566298
640,00567044,_synset_domain_topic_of,00482298
641,00571609,_derivationally_related_form,02087745
642,00571609,_hypernym,00565302
643,00572489,_derivationally_related_form,01509584
644,00572489,_derivationally_related_form,01512259
645,00572489,_hypernym,00571609
646,00575720,_derivationally_related_form,13572436
647,00575720,_derivationally_related_form,15055633
648,00575720,_hypernym,00109660
649,00575720,_verb_group,00575970
650,00575741,_derivationally_related_form,02373015
651,00575741,_derivationally_related_form,02407987
652,00575741,_derivationally_related_form,02413480
653,00575970,_derivationally_related_form,13572436
654,00575970,_derivationally_related_form,15055633
655,00575970,_hypernym,00126264
656,00575970,_verb_group,00575720
657,00578116,_derivationally_related_form,01156438
658,00578116,_hypernym,00126264
659,00583246,_derivationally_related_form,00753881
660,00591236,_derivationally_related_form,09968845
661,00593108,_hypernym,00586262
662,00593732,_derivationally_related_form,10694258
663,00593944,_derivationally_related_form,10066732
664,00593944,_hypernym,00586262
665,00598215,_derivationally_related_form,09614684
666,00598954,_derivationally_related_form,00043195
667,00598954,_derivationally_related_form,05808218
668,00598954,_derivationally_related_form,07214432
669,00598954,_verb_group,02128873
670,00599992,_derivationally_related_form,05996646
671,00599992,_derivationally_related_form,06598445
672,00602805,_derivationally_related_form,00729108
673,00602805,_derivationally_related_form,10722385
674,00602805,_verb_group,00603298
675,00603298,_derivationally_related_form,05753564
676,00603298,_derivationally_related_form,10722385
677,00603298,_derivationally_related_form,10722575
678,00603298,_verb_group,02387034
679,00604811,_derivationally_related_form,10694258
680,00604811,_hypernym,00586262
681,00607775,_hypernym,00606370
682,00609506,_derivationally_related_form,05762149
683,00609506,_hypernym,00606370
684,00613393,_verb_group,01848465
685,00613393,_verb_group,01989053
686,00620752,_derivationally_related_form,02419773
687,00620752,_hypernym,00575741
688,00621476,_derivationally_related_form,02419773
689,00621476,_hypernym,00620752
690,00622068,_derivationally_related_form,02407338
691,00622068,_hypernym,00621627
692,00623151,_also_see,02660819
693,00623151,_derivationally_related_form,05928513
694,00623151,_derivationally_related_form,07170753
695,00623151,_hypernym,00588888
696,00623151,_verb_group,00690614
697,00625393,_also_see,00626800
698,00625393,_derivationally_related_form,04761212
699,00626800,_also_see,00625393
700,00628491,_also_see,00630380
701,00628491,_also_see,01634142
702,00628491,_derivationally_related_form,05770926
703,00628491,_derivationally_related_form,05784242
704,00628491,_derivationally_related_form,05786372
705,00628491,_derivationally_related_form,10708292
706,00628491,_derivationally_related_form,10708454
707,00629738,_derivationally_related_form,05786372
708,00629738,_derivationally_related_form,05833840
709,00630223,_derivationally_related_form,05807306
710,00630223,_hypernym,00628491
711,00630380,_derivationally_related_form,05785508
712,00630380,_derivationally_related_form,05785885
713,00630380,_derivationally_related_form,10339504
714,00630380,_hypernym,00628491
715,00631737,_derivationally_related_form,05803938
716,00631737,_derivationally_related_form,05833840
717,00631737,_derivationally_related_form,06782680
718,00631737,_derivationally_related_form,10150794
719,00631737,_hypernym,00719734
720,00632627,_derivationally_related_form,05651680
721,00632627,_derivationally_related_form,10510339
722,00632627,_hypernym,00628491
723,00633265,_derivationally_related_form,05793210
724,00633265,_derivationally_related_form,10510339
725,00633443,_derivationally_related_form,05773923
726,00633443,_derivationally_related_form,05779712
727,00633443,_derivationally_related_form,05891783
728,00633443,_derivationally_related_form,06782680
729,00633443,_derivationally_related_form,07162545
730,00633443,_derivationally_related_form,10634316
731,00633443,_hypernym,00719734
732,00634472,_derivationally_related_form,00550282
733,00634472,_derivationally_related_form,05651680
734,00634472,_derivationally_related_form,10510339
735,00635205,_derivationally_related_form,00785690
736,00635205,_derivationally_related_form,02154508
737,00635205,_hypernym,00635012
738,00643250,_also_see,01686439
739,00643250,_also_see,01865197
740,00643250,_derivationally_related_form,01628449
741,00643250,_derivationally_related_form,01640207
742,00643250,_derivationally_related_form,01685313
743,00643250,_derivationally_related_form,05624700
744,00644503,_derivationally_related_form,02166460
745,00647094,_derivationally_related_form,00033615
