head,tail,relation
17316,412546,bought_together
17959,2408806,bought_together
17959,68450,bought_together
18427,1916630,bought_together
18427,191027,bought_together
18427,472571,bought_together
18514,225104,bought_together
18514,1672794,bought_together
18514,1516965,bought_together
18748,69158,bought_together
18748,57643,bought_together
18748,2046219,bought_together
19055,101321,bought_together
19188,116162,bought_together
19188,42405,bought_together
20014,1785374,bought_together
20439,2201383,bought_together
21454,1254365,bought_together
21454,1176747,bought_together
21454,2188425,bought_together
21454,1894491,bought_together
21454,692607,bought_together
21454,399552,bought_together
21454,877691,bought_together
21454,1786682,bought_together
21454,260047,bought_together
21454,1787873,bought_together
21727,194597,bought_together
21791,160363,bought_together
21791,65009,bought_together
16908,21791,bought_together
21791,122835,bought_together
21791,41042,bought_together
22214,1107478,bought_together
22272,91854,bought_together
22272,142295,bought_together
22272,187581,bought_together
22345,2168039,bought_together
22410,373756,bought_together
22410,114686,bought_together
22420,175598,bought_together
22420,167696,bought_together
22420,2141109,bought_together
22420,2294463,bought_together
22481,1893069,bought_together
22631,1774872,bought_together
22780,402911,bought_together
22780,564861,bought_together
22780,2055501,bought_together
23269,99372,bought_together
23325,66734,bought_together
23325,2369920,bought_together
23515,857491,bought_together
23515,1348158,bought_together
23515,2083477,bought_together
23726,149872,bought_together
23726,1195971,bought_together
23842,153510,bought_together
23842,1921073,bought_together
23842,253659,bought_together
24292,1830590,bought_together
24292,42371,bought_together
24292,2437196,bought_together
24314,176129,bought_together
24314,993621,bought_together
24314,185235,bought_together
24314,592980,bought_together
24314,1761174,bought_together
24320,1729983,bought_together
24320,2116777,bought_together
24320,1382978,bought_together
24822,1916630,bought_together
24822,775664,bought_together
24822,60746,bought_together
24822,1271097,bought_together
25479,807490,bought_together
25858,2226570,bought_together
25858,1113116,bought_together
25858,81387,bought_together
26997,72345,bought_together
26997,223858,bought_together
26997,124225,bought_together
27073,1500833,bought_together
27073,2309109,bought_together
27472,138075,bought_together
27472,1519527,bought_together
27556,102298,bought_together
27556,147846,bought_together
27556,191129,bought_together
27556,124225,bought_together
27556,62612,bought_together
27723,43582,bought_together
27723,301092,bought_together
28692,813703,bought_together
28692,2367025,bought_together
28692,2060692,bought_together
28909,369173,bought_together
29141,90564,bought_together
29582,71184,bought_together
29770,67428,bought_together
29809,174753,bought_together
29809,188054,bought_together
29809,194600,bought_together
29809,97838,bought_together
29854,110067,bought_together
29999,102085,bought_together
29999,173678,bought_together
29999,103613,bought_together
29999,34423,bought_together
29999,1908809,bought_together
30339,124225,bought_together
30452,120187,bought_together
30452,2404177,bought_together
30753,34142,bought_together
4836,30753,bought_together
30979,1114224,bought_together
30979,775664,bought_together
24822,30979,bought_together
31794,1692863,bought_together
31794,242026,bought_together
31887,2192832,bought_together
31887,204795,bought_together
32163,43365,bought_together
32163,52578,bought_together
32184,77999,bought_together
32184,154215,bought_together
32251,150376,bought_together
32366,1830699,bought_together
32366,2303409,bought_together
32402,165480,bought_together
32402,175073,bought_together
32402,93754,bought_together
32546,1048622,bought_together
32845,139721,bought_together
32845,33695,bought_together
33093,117613,bought_together
33093,195325,bought_together
33142,1262240,bought_together
33691,122509,bought_together
33695,139721,bought_together
33836,418745,bought_together
34105,64231,bought_together
34142,109049,bought_together
34142,55139,bought_together
34142,125352,bought_together
34243,604542,bought_together
34243,1582897,bought_together
34423,103613,bought_together
34423,102085,bought_together
34423,173678,bought_together
34863,61654,bought_together
34982,211731,bought_together
34982,2336784,bought_together
35418,153510,bought_together
35547,410128,bought_together
35547,1201281,bought_together
35656,2051333,bought_together
35656,172683,bought_together
35656,1301431,bought_together
35870,2215915,bought_together
35870,166821,bought_together
35902,127459,bought_together
35902,1084142,bought_together
35902,120372,bought_together
36425,912805,bought_together
36425,382592,bought_together
36425,1869172,bought_together
36704,178900,bought_together
36704,2141388,bought_together
36704,1950607,bought_together
36704,180367,bought_together
36738,1654563,bought_together
36771,2379908,bought_together
36976,74018,bought_together
36976,77625,bought_together
36976,153056,bought_together
37484,199263,bought_together
37484,168961,bought_together
38025,150376,bought_together
38131,194600,bought_together
38312,401362,bought_together
38312,208800,bought_together
38312,758231,bought_together
38648,1616659,bought_together
39004,173668,bought_together
39004,90564,bought_together
39004,50936,bought_together
39004,42618,bought_together
39004,140925,bought_together
39034,1848255,bought_together
39034,133403,bought_together
39149,191129,bought_together
39149,135289,bought_together
39155,67428,bought_together
39155,146331,bought_together
39611,2101447,bought_together
39611,2143444,bought_together
39611,179220,bought_together
39611,2411046,bought_together
39611,2379957,bought_together
40161,99323,bought_together
40161,819476,bought_together
40343,186747,bought_together
40343,425029,bought_together
40343,1382978,bought_together
40355,170316,bought_together
40355,2347360,bought_together
40355,97969,bought_together
40513,157832,bought_together
40513,124249,bought_together
40662,137051,bought_together
40694,1735097,bought_together
40735,205167,bought_together
40735,154307,bought_together
41006,1725410,bought_together
41006,105640,bought_together
41042,176310,bought_together
41042,160363,bought_together
41572,189575,bought_together
41572,80092,bought_together
41572,149548,bought_together
41572,52319,bought_together
41572,146983,bought_together
41572,103043,bought_together
41675,171922,bought_together
41879,142275,bought_together
41879,640052,bought_together
42121,102701,bought_together
42121,460754,bought_together
42121,1492000,bought_together
42121,935851,bought_together
42249,187243,bought_together
42249,2112687,bought_together
42371,1830590,bought_together
42371,2437196,bought_together
42405,116162,bought_together
42673,230663,bought_together
42673,59478,bought_together
33836,42877,bought_together
42877,418745,bought_together
42877,80402,bought_together
42877,2440082,bought_together
43365,52578,bought_together
43365,1805431,bought_together
43444,205123,bought_together
43444,238313,bought_together
43636,1743679,bought_together
43827,89017,bought_together
43827,61339,bought_together
43852,1003572,bought_together
43979,221344,bought_together
43979,2366144,bought_together
43979,720982,bought_together
44305,124225,bought_together
44305,179332,bought_together
44345,87950,bought_together
44345,1310541,bought_together
44345,69896,bought_together
44345,832527,bought_together
44522,137687,bought_together
44522,1461056,bought_together
44522,186740,bought_together
44534,880778,bought_together
44534,1929501,bought_together
44583,648413,bought_together
44583,53392,bought_together
44583,1618430,bought_together
44583,497404,bought_together
44583,45668,bought_together
44817,135237,bought_together
45384,66734,bought_together
45384,149718,bought_together
45384,209534,bought_together
45384,126950,bought_together
23325,45384,bought_together
45435,175907,bought_together
45435,150439,bought_together
45588,1640387,bought_together
45588,1057616,bought_together
45668,274302,bought_together
45668,1009439,bought_together
45668,53392,bought_together
45882,64613,bought_together
45882,2011963,bought_together
45882,321368,bought_together
45882,128174,bought_together
45882,1528556,bought_together
45887,191129,bought_together
4256,45887,bought_together
46253,1193831,bought_together
46253,1609785,bought_together
46270,178051,bought_together
46270,126115,bought_together
46270,123339,bought_together
46270,161999,bought_together
46719,190332,bought_together
46719,1789929,bought_together
46719,1335122,bought_together
46921,285763,bought_together
47560,80402,bought_together
33691,47638,bought_together
47792,99323,bought_together
48321,987811,bought_together
48321,2268554,bought_together
48921,1294732,bought_together
49275,137946,bought_together
50161,55679,bought_together
50248,981389,bought_together
50284,1080048,bought_together
50284,145164,bought_together
50305,55149,bought_together
50305,68591,bought_together
50305,127459,bought_together
50305,1084142,bought_together
50596,105002,bought_together
50596,224101,bought_together
51580,67373,bought_together
51580,92589,bought_together
51580,176310,bought_together
51823,612021,bought_together
51823,74018,bought_together
51823,153056,bought_together
51833,1008690,bought_together
51833,2396815,bought_together
51862,1862478,bought_together
51862,60212,bought_together
51862,2324139,bought_together
52319,189575,bought_together
52319,149548,bought_together
52319,80092,bought_together
52740,125768,bought_together
52740,130894,bought_together
53115,169549,bought_together
5652,53115,bought_together
12047,53214,bought_together
53214,1279488,bought_together
53214,940957,bought_together
53214,856940,bought_together
53392,96674,bought_together
53607,733398,bought_together
53607,2286475,bought_together
53607,86076,bought_together
55139,109049,bought_together
55139,125352,bought_together
55149,272536,bought_together
55149,508675,bought_together
55303,89296,bought_together
55303,2071927,bought_together
55312,633404,bought_together
55312,927339,bought_together
55312,1085804,bought_together
55694,2268212,bought_together
55694,76921,bought_together
55694,184110,bought_together
55694,57192,bought_together
55694,97768,bought_together
55694,94895,bought_together
55900,179106,bought_together
55900,210112,bought_together
56028,187395,bought_together
56447,179220,bought_together
56447,111828,bought_together
56447,262617,bought_together
56744,106654,bought_together
56744,1350308,bought_together
56804,871063,bought_together
56804,1044374,bought_together
56910,120074,bought_together
56969,1280876,bought_together
56969,2359071,bought_together
57192,60589,bought_together
57308,114686,bought_together
57592,607712,bought_together
57643,105002,bought_together
57643,2046219,bought_together
57934,2143444,bought_together
57934,2013613,bought_together
58385,193427,bought_together
58385,90044,bought_together
58414,621692,bought_together
58414,1287585,bought_together
58670,2025118,bought_together
58872,174633,bought_together
58872,1168948,bought_together
58950,1501384,bought_together
58950,957201,bought_together
58950,2354526,bought_together
58950,1315063,bought_together
58962,130918,bought_together
58962,113092,bought_together
59048,1916862,bought_together
59460,86726,bought_together
59478,230663,bought_together
59564,202742,bought_together
59564,2234027,bought_together
59564,97183,bought_together
59564,2367691,bought_together
59644,125216,bought_together
59644,167429,bought_together
59681,1168644,bought_together
60175,117379,bought_together
60175,165480,bought_together
60175,175073,bought_together
60212,1862478,bought_together
60212,303863,bought_together
60212,2324139,bought_together
60589,177549,bought_together
60589,76921,bought_together
60637,1499440,bought_together
60637,1340565,bought_together
60637,2435464,bought_together
60700,70948,bought_together
60700,769989,bought_together
60746,775664,bought_together
60746,1271097,bought_together
60746,219975,bought_together
60751,607903,bought_together
60751,884377,bought_together
61165,1134767,bought_together
61165,1839772,bought_together
61165,1144903,bought_together
61654,2349560,bought_together
61654,2237982,bought_together
61654,164249,bought_together
62528,184110,bought_together
62612,124225,bought_together
62612,514035,bought_together
62612,102298,bought_together
62612,182725,bought_together
62692,1895805,bought_together
62692,1899037,bought_together
50161,62952,bought_together
62952,186034,bought_together
62952,2120591,bought_together
63203,1934572,bought_together
63355,867543,bought_together
63355,1012575,bought_together
33836,63729,bought_together
63729,81495,bought_together
63729,1380998,bought_together
63929,169549,bought_together
63929,76227,bought_together
63929,194597,bought_together
64015,1348473,bought_together
64015,815790,bought_together
64015,1887284,bought_together
25672,64575,bought_together
64613,2011963,bought_together
64613,321368,bought_together
65009,122835,bought_together
41042,65009,bought_together
65009,160363,bought_together
65057,1275527,bought_together
65057,1528323,bought_together
65057,2283917,bought_together
65057,1214357,bought_together
65057,2435253,bought_together
65356,328951,bought_together
65484,150305,bought_together
65484,94715,bought_together
65484,214565,bought_together
65484,143207,bought_together
65484,74955,bought_together
65855,74280,bought_together
65855,1922508,bought_together
65863,152850,bought_together
65863,119961,bought_together
65863,179106,bought_together
65863,2363801,bought_together
66051,1298573,bought_together
66051,75377,bought_together
66051,1599850,bought_together
6245,66460,bought_together
66734,209534,bought_together
66734,149718,bought_together
66734,126950,bought_together
67216,120854,bought_together
67373,92589,bought_together
67373,401956,bought_together
67428,78604,bought_together
67899,1123563,bought_together
67899,958999,bought_together
67899,2010680,bought_together
68059,1622580,bought_together
68450,2408806,bought_together
69158,130620,bought_together
69892,124225,bought_together
69892,106654,bought_together
69896,107147,bought_together
69896,87950,bought_together
70508,2336643,bought_together
70508,1223249,bought_together
70508,1198147,bought_together
70508,1210223,bought_together
70730,673096,bought_together
70730,111922,bought_together
70902,80092,bought_together
70902,146983,bought_together
70902,175213,bought_together
70902,952803,bought_together
70948,450833,bought_together
71184,1897577,bought_together
71184,136827,bought_together
71331,703170,bought_together
71891,100351,bought_together
71891,1853242,bought_together
72345,124225,bought_together
73116,163355,bought_together
73116,2005048,bought_together
73116,119799,bought_together
73164,155519,bought_together
73433,518715,bought_together
73433,155898,bought_together
74018,77625,bought_together
74153,122835,bought_together
41042,74153,bought_together
74153,160363,bought_together
74153,176310,bought_together
65009,74153,bought_together
74223,474071,bought_together
74223,149718,bought_together
45365,74223,bought_together
74223,737862,bought_together
74280,1838224,bought_together
74280,1922508,bought_together
74280,407216,bought_together
74509,1680018,bought_together
74509,745978,bought_together
74955,150305,bought_together
75377,465597,bought_together
75377,943834,bought_together
75377,2412848,bought_together
76227,169549,bought_together
76514,144813,bought_together
76514,532354,bought_together
76671,2400571,bought_together
76740,203568,bought_together
76740,2356358,bought_together
76740,142930,bought_together
76740,272536,bought_together
33836,76784,bought_together
76784,418745,bought_together
76784,1936607,bought_together
76784,199658,bought_together
77625,153056,bought_together
78261,751778,bought_together
78261,532354,bought_together
78559,174711,bought_together
78604,160363,bought_together
78640,474097,bought_together
78640,2058869,bought_together
78640,1749423,bought_together
78640,1108378,bought_together
78640,468528,bought_together
78640,1868410,bought_together
78640,313247,bought_together
78640,1387793,bought_together
78640,1658278,bought_together
79343,2222384,bought_together
79343,142493,bought_together
79343,981389,bought_together
50161,79343,bought_together
79392,169549,bought_together
53115,79392,bought_together
76227,79392,bought_together
80092,146983,bought_together
80092,175213,bought_together
80093,1735097,bought_together
80402,120372,bought_together
80402,418745,bought_together
80658,169549,bought_together
5652,80658,bought_together
80658,194597,bought_together
53115,80658,bought_together
63929,80658,bought_together
80926,124225,bought_together
80926,179332,bought_together
81191,160363,bought_together
81191,1281635,bought_together
74153,81191,bought_together
81247,89296,bought_together
81247,157233,bought_together
81387,1113116,bought_together
33836,81495,bought_together
30339,81520,bought_together
81520,124225,bought_together
81520,228663,bought_together
81520,636754,bought_together
39004,81896,bought_together
81896,90564,bought_together
81913,1237930,bought_together
81913,2104156,bought_together
81913,2028437,bought_together
82327,2354775,bought_together
50161,82327,bought_together
82327,591850,bought_together
82327,794581,bought_together
82476,133403,bought_together
82476,1665613,bought_together
82849,152250,bought_together
82906,1612957,bought_together
82906,1077471,bought_together
82906,183993,bought_together
82906,1973801,bought_together
82906,1645723,bought_together
83001,126115,bought_together
83504,85059,bought_together
84373,1670337,bought_together
84373,214565,bought_together
84373,303174,bought_together
84737,799672,bought_together
84737,911027,bought_together
84737,150439,bought_together
84737,170341,bought_together
85182,675353,bought_together
85283,1088984,bought_together
85283,137145,bought_together
85283,209534,bought_together
85283,2384785,bought_together
85545,86076,bought_together
85545,2307046,bought_together
85634,191995,bought_together
85995,118128,bought_together
85995,134888,bought_together
85995,144878,bought_together
85995,201821,bought_together
86076,177549,bought_together
86076,1080048,bought_together
86076,1070743,bought_together
86076,1239741,bought_together
60589,86076,bought_together
86076,184110,bought_together
86076,733398,bought_together
86076,2286475,bought_together
86571,122297,bought_together
86726,1496727,bought_together
86802,1452117,bought_together
87404,156314,bought_together
87877,2022193,bought_together
87877,1929479,bought_together
87950,110883,bought_together
89218,104790,bought_together
89218,91630,bought_together
89218,124225,bought_together
89218,130332,bought_together
89296,157233,bought_together
89296,2071927,bought_together
90044,195941,bought_together
90564,108395,bought_together
90564,146331,bought_together
90564,97032,bought_together
90763,117735,bought_together
90763,169056,bought_together
90784,2359271,bought_together
30339,90970,bought_together
90970,178100,bought_together
91344,184953,bought_together
91344,1466497,bought_together
34997,91446,bought_together
91630,104790,bought_together
91630,130332,bought_together
92436,219037,bought_together
92436,180022,bought_together
92436,1898642,bought_together
92589,842039,bought_together
92589,933381,bought_together
92884,172303,bought_together
93087,122059,bought_together
93239,469964,bought_together
93754,165480,bought_together
93754,175073,bought_together
93800,975440,bought_together
93812,1018062,bought_together
93812,740367,bought_together
33836,94135,bought_together
94135,1380998,bought_together
94715,150305,bought_together
74955,94715,bought_together
94895,184110,bought_together
62528,94895,bought_together
95085,175441,bought_together
95085,1706791,bought_together
95085,1889274,bought_together
85182,96058,bought_together
96058,2345613,bought_together
96674,1618430,bought_together
97107,688433,bought_together
97107,2384871,bought_together
97183,2234027,bought_together
97183,202742,bought_together
97183,2367691,bought_together
97183,186502,bought_together
97330,2090601,bought_together
97768,184110,bought_together
97801,1114224,bought_together
97801,775664,bought_together
24822,97801,bought_together
30979,97801,bought_together
97801,1166179,bought_together
97838,174753,bought_together
97937,1128237,bought_together
97969,1547363,bought_together
97969,170316,bought_together
98647,213329,bought_together
98647,163362,bought_together
98647,866736,bought_together
98647,233789,bought_together
98813,1500833,bought_together
27073,98813,bought_together
98813,1693403,bought_together
98830,192487,bought_together
98830,153201,bought_together
99083,175907,bought_together
99083,135505,bought_together
99115,1897012,bought_together
51862,99409,bought_together
99565,170229,bought_together
99627,121975,bought_together
99627,1605732,bought_together
99722,405331,bought_together
99722,118128,bought_together
99722,735794,bought_together
99722,164166,bought_together
100315,126869,bought_together
100315,174708,bought_together
100315,234285,bought_together
100315,621020,bought_together
100315,227406,bought_together
100351,1853242,bought_together
100638,310544,bought_together
100638,123631,bought_together
100638,1695708,bought_together
101321,1046102,bought_together
75377,101321,bought_together
101321,521911,bought_together
45887,101321,bought_together
101964,197264,bought_together
101964,1336098,bought_together
101964,1250311,bought_together
101964,2304225,bought_together
102085,103613,bought_together
102298,237450,bought_together
102298,514035,bought_together
102298,182725,bought_together
102408,1143965,bought_together
102408,192561,bought_together
102642,1922911,bought_together
102642,1436101,bought_together
102642,2007670,bought_together
102642,761794,bought_together
102701,460754,bought_together
102701,1492000,bought_together
102866,1035393,bought_together
103371,2356358,bought_together
103371,203568,bought_together
103371,418745,bought_together
103371,1072066,bought_together
88005,103522,bought_together
103613,173678,bought_together
52740,103712,bought_together
103893,113716,bought_together
103893,199364,bought_together
104233,146331,bought_together
104233,172683,bought_together
104790,130332,bought_together
105002,224101,bought_together
106207,199188,bought_together
106207,674634,bought_together
106218,187082,bought_together
106218,352305,bought_together
106654,124225,bought_together
30339,106654,bought_together
106828,1256726,bought_together
106967,1496727,bought_together
107147,110883,bought_together
107195,179220,bought_together
107388,2386635,bought_together
82849,107388,bought_together
107388,2127859,bought_together
107951,1048659,bought_together
40161,107951,bought_together
99323,107951,bought_together
108076,2028437,bought_together
108076,1801603,bought_together
108343,161062,bought_together
108343,323311,bought_together
108473,146331,bought_together
108473,172683,bought_together
108473,187543,bought_together
104233,108473,bought_together
108786,472998,bought_together
108786,1349547,bought_together
108786,587270,bought_together
72345,108959,bought_together
108959,124225,bought_together
109049,125352,bought_together
109625,409036,bought_together
109625,2416074,bought_together
95094,109625,bought_together
109625,171922,bought_together
95094,110067,bought_together
110131,163335,bought_together
110131,171579,bought_together
110201,2257390,bought_together
4256,110201,bought_together
110201,310739,bought_together
110201,1170725,bought_together
110201,1806539,bought_together
110277,2307046,bought_together
110456,1245028,bought_together
110456,1446090,bought_together
110456,2003508,bought_together
110456,2311971,bought_together
110456,1776303,bought_together
110456,1603033,bought_together
110477,164854,bought_together
110477,169947,bought_together
110794,2200848,bought_together
110794,1726769,bought_together
110794,157076,bought_together
110794,1503449,bought_together
110883,173922,bought_together
110883,2136738,bought_together
110904,2359271,bought_together
110904,1805257,bought_together
110904,163778,bought_together
111828,179220,bought_together
111828,262617,bought_together
111878,1348029,bought_together
111922,2425857,bought_together
112007,1657218,bought_together
112007,927108,bought_together
112202,939383,bought_together
112718,146331,bought_together
73116,112826,bought_together
105795,112826,bought_together
112863,146331,bought_together
112863,152523,bought_together
112878,1496727,bought_together
112878,136670,bought_together
113092,130918,bought_together
113259,219146,bought_together
34105,113259,bought_together
113259,432684,bought_together
43394,113259,bought_together
64231,113259,bought_together
113597,2173161,bought_together
113597,2405532,bought_together
113597,1600080,bought_together
113716,199364,bought_together
113886,163778,bought_together
114080,589276,bought_together
114193,2391472,bought_together
114193,792647,bought_together
90754,114686,bought_together
114686,2386695,bought_together
87877,114749,bought_together
114749,1929479,bought_together
115224,198139,bought_together
41482,115224,bought_together
115224,136131,bought_together
115230,927339,bought_together
115366,168598,bought_together
115849,2186708,bought_together
115849,1072066,bought_together
116162,592771,bought_together
116320,1785374,bought_together
20014,116320,bought_together
12047,116447,bought_together
116447,1279488,bought_together
116447,940957,bought_together
116447,856940,bought_together
117094,2159144,bought_together
117245,1223385,bought_together
14612,117245,bought_together
117245,2376206,bought_together
117379,2072713,bought_together
50115,117519,bought_together
23325,117538,bought_together
117538,126950,bought_together
117538,1032481,bought_together
117735,169056,bought_together
118128,164166,bought_together
33235,118128,bought_together
119100,188315,bought_together
119418,2359280,bought_together
119696,874361,bought_together
119696,2421528,bought_together
119696,1676648,bought_together
119696,175665,bought_together
119717,1022597,bought_together
119799,163355,bought_together
119961,152850,bought_together
119961,179106,bought_together
120074,2337259,bought_together
120074,192561,bought_together
120074,862167,bought_together
120187,2404177,bought_together
120605,1692762,bought_together
120605,124225,bought_together
120888,534637,bought_together
120888,1348158,bought_together
120888,2083477,bought_together
121831,1280642,bought_together
121836,1139541,bought_together
121836,140410,bought_together
121836,950409,bought_together
121975,144272,bought_together
121975,204370,bought_together
95094,122059,bought_together
29854,122059,bought_together
122835,160363,bought_together
122835,190319,bought_together
41042,122835,bought_together
78604,122835,bought_together
123339,126115,bought_together
123339,179776,bought_together
123339,178051,bought_together
76784,123631,bought_together
123631,1379982,bought_together
123631,1936607,bought_together
123631,310544,bought_together
123631,1695708,bought_together
33836,124351,bought_together
124351,418745,bought_together
80402,124351,bought_together
124351,2440082,bought_together
84737,124843,bought_together
124843,142973,bought_together
125045,206490,bought_together
125216,167429,bought_together
125307,179220,bought_together
125768,130894,bought_together
126115,161999,bought_together
126239,619441,bought_together
126239,1018399,bought_together
126239,1865952,bought_together
126239,150439,bought_together
126869,174708,bought_together
126869,234285,bought_together
126869,227406,bought_together
126869,621020,bought_together
126950,149718,bought_together
126950,161999,bought_together
127459,1084142,bought_together
128445,152743,bought_together
41675,128445,bought_together
128522,1671291,bought_together
128522,171866,bought_together
128552,2397419,bought_together
128552,977116,bought_together
128552,1436435,bought_together
128833,553661,bought_together
128833,2343525,bought_together
128833,2172742,bought_together
128833,163937,bought_together
129479,918163,bought_together
130364,1110054,bought_together
130364,1505451,bought_together
18748,130620,bought_together
130620,187106,bought_together
130886,229106,bought_together
130894,187958,bought_together
131245,1133639,bought_together
131245,450833,bought_together
60700,131245,bought_together
131245,166233,bought_together
14455,131393,bought_together
131440,997759,bought_together
131440,177928,bought_together
23325,131650,bought_together
132543,1293279,bought_together
132543,1548017,bought_together
132543,554453,bought_together
132596,1902320,bought_together
132899,173847,bought_together
106218,133333,bought_together
133403,1665613,bought_together
133531,206033,bought_together
133718,146331,bought_together
97838,134481,bought_together
134481,194600,bought_together
134541,2137800,bought_together
134882,343805,bought_together
134888,144878,bought_together
134899,245182,bought_together
134899,2013613,bought_together
134899,1197434,bought_together
134899,183993,bought_together
17147,134899,bought_together
135237,1788068,bought_together
69892,135289,bought_together
55730,135413,bought_together
135505,153433,bought_together
135505,950872,bought_together
135505,164249,bought_together
135884,878004,bought_together
135884,348739,bought_together
136131,207397,bought_together
41482,136131,bought_together
136131,211749,bought_together
136131,1604497,bought_together
136131,1081148,bought_together
136463,671458,bought_together
50284,136659,bought_together
136659,1080048,bought_together
136670,1496727,bought_together
136670,180345,bought_together
136827,1897577,bought_together
29582,136827,bought_together
136827,1324752,bought_together
136827,1669023,bought_together
136827,1809661,bought_together
137145,209534,bought_together
23325,137145,bought_together
66734,137145,bought_together
137271,1551394,bought_together
137271,609511,bought_together
137271,1785863,bought_together
137687,186740,bought_together
99565,137722,bought_together
137722,152250,bought_together
137946,614490,bought_together
137946,183108,bought_together
138075,140810,bought_together
138290,1955898,bought_together
138290,1491148,bought_together
37843,138290,bought_together
138290,478566,bought_together
120074,138589,bought_together
97937,138917,bought_together
139721,2366939,bought_together
78604,140121,bought_together
140121,197539,bought_together
140121,1902453,bought_together
67428,140121,bought_together
140410,1139541,bought_together
140410,757673,bought_together
141021,1699591,bought_together
141021,1991404,bought_together
141021,1492065,bought_together
141021,1587946,bought_together
141414,1145894,bought_together
141414,606259,bought_together
141414,544528,bought_together
141993,2101447,bought_together
141993,2143444,bought_together
141993,179220,bought_together
141993,2411046,bought_together
141993,2379957,bought_together
91854,142295,bought_together
142295,187581,bought_together
142493,2222384,bought_together
142493,981389,bought_together
68450,142876,bought_together
142930,2356358,bought_together
142930,203568,bought_together
142973,150439,bought_together
74955,143207,bought_together
143323,229981,bought_together
122297,143323,bought_together
86571,143323,bought_together
144178,1719466,bought_together
144178,2291889,bought_together
144272,204370,bought_together
144272,540624,bought_together
126950,144295,bought_together
105231,144295,bought_together
144567,216313,bought_together
144567,608340,bought_together
144567,842648,bought_together
144813,192389,bought_together
145238,1880016,bought_together
145238,147231,bought_together
145265,177749,bought_together
80775,145265,bought_together
145265,1518921,bought_together
145312,161866,bought_together
145955,1391592,bought_together
145955,2162575,bought_together
146235,2094823,bought_together
146235,329586,bought_together
146235,691593,bought_together
146331,179510,bought_together
146402,233573,bought_together
33691,146753,bought_together
146753,855319,bought_together
122509,146753,bought_together
146983,175213,bought_together
147231,1880016,bought_together
147231,150439,bought_together
124225,147846,bought_together
147846,191129,bought_together
147846,174460,bought_together
147846,1738034,bought_together
147970,1404459,bought_together
