source,target
51833,1008690
51833,2396815
51862,1862478
51862,60212
51862,2324139
52319,189575
52319,149548
52319,80092
52740,125768
52740,130894
53115,169549
5652,53115
12047,53214
53214,1279488
53214,940957
53214,856940
53392,96674
53607,733398
53607,2286475
53607,86076
55139,109049
55139,125352
55149,272536
55149,508675
55303,89296
55303,2071927
55312,633404
55312,927339
55312,1085804
55694,2268212
55694,76921
55694,184110
55694,57192
55694,97768
55694,94895
55900,179106
55900,210112
56028,187395
56447,179220
56447,111828
56447,262617
56744,106654
56744,1350308
56804,871063
56804,1044374
56910,120074
56969,1280876
56969,2359071
57192,60589
57308,114686
57592,607712
57643,105002
57643,2046219
57934,2143444
57934,2013613
58385,193427
58385,90044
58414,621692
58414,1287585
58670,2025118
58872,174633
58872,1168948
58950,1501384
58950,957201
58950,2354526
58950,1315063
58962,130918
58962,113092
59048,1916862
59460,86726
59478,230663
59564,202742
59564,2234027
59564,97183
59564,2367691
59644,125216
59644,167429
59681,1168644
60175,117379
60175,165480
60175,175073
60212,1862478
60212,303863
60212,2324139
60589,177549
60589,76921
60637,1499440
60637,1340565
60637,2435464
60700,70948
60700,769989
60746,775664
60746,1271097
60746,219975
60751,607903
60751,884377
61165,1134767
61165,1839772
61165,1144903
61654,2349560
61654,2237982
61654,164249
62528,184110
62612,124225
62612,514035
62612,102298
62612,182725
62692,1895805
62692,1899037
50161,62952
62952,186034
62952,2120591
63203,1934572
63355,867543
63355,1012575
33836,63729
63729,81495
63729,1380998
63929,169549
63929,76227
63929,194597
64015,1348473
64015,815790
64015,1887284
25672,64575
64613,2011963
64613,321368
65009,122835
41042,65009
65009,160363
65057,1275527
65057,1528323
65057,2283917
65057,1214357
65057,2435253
65356,328951
65484,150305
65484,94715
65484,214565
65484,143207
65484,74955
65855,74280
65855,1922508
65863,152850
65863,119961
65863,179106
65863,2363801
66051,1298573
66051,75377
66051,1599850
6245,66460
66734,209534
66734,149718
66734,126950
67216,120854
67373,92589
67373,401956
67428,78604
67899,1123563
67899,958999
67899,2010680
68059,1622580
68450,2408806
69158,130620
69892,124225
69892,106654
69896,107147
69896,87950
70508,2336643
70508,1223249
70508,1198147
70508,1210223
70730,673096
70730,111922
70902,80092
70902,146983
70902,175213
70902,952803
70948,450833
71184,1897577
71184,136827
71331,703170
71891,100351
71891,1853242
72345,124225
73116,163355
73116,2005048
73116,119799
73164,155519
73433,518715
73433,155898
74018,77625
74153,122835
41042,74153
74153,160363
74153,176310
65009,74153
74223,474071
74223,149718
45365,74223
74223,737862
74280,1838224
74280,1922508
74280,407216
74509,1680018
74509,745978
74955,150305
75377,465597
75377,943834
75377,2412848
76227,169549
76514,144813
76514,532354
76671,2400571
76740,203568
76740,2356358
76740,142930
76740,272536
33836,76784
76784,418745
76784,1936607
76784,199658
77625,153056
78261,751778
78261,532354
78559,174711
78604,160363
78640,474097
78640,2058869
78640,1749423
78640,1108378
78640,468528
78640,1868410
78640,313247
78640,1387793
78640,1658278
79343,2222384
79343,142493
79343,981389
50161,79343
79392,169549
53115,79392
76227,79392
80092,146983
80092,175213
80093,1735097
80402,120372
80402,418745
80658,169549
5652,80658
80658,194597
53115,80658
63929,80658
80926,124225
80926,179332
81191,160363
81191,1281635
74153,81191
81247,89296
81247,157233
81387,1113116
33836,81495
30339,81520
81520,124225
81520,228663
81520,636754
39004,81896
81896,90564
81913,1237930
81913,2104156
81913,2028437
82327,2354775
50161,82327
82327,591850
82327,794581
82476,133403
82476,1665613
82849,152250
82906,1612957
82906,1077471
82906,183993
82906,1973801
82906,1645723
83001,126115
83504,85059
84373,1670337
84373,214565
84373,303174
84737,799672
84737,911027
84737,150439
84737,170341
85182,675353
85283,1088984
85283,137145
85283,209534
85283,2384785
85545,86076
85545,2307046
85634,191995
85995,118128
85995,134888
85995,144878
85995,201821
86076,177549
86076,1080048
86076,1070743
86076,1239741
60589,86076
86076,184110
86076,733398
86076,2286475
86571,122297
86726,1496727
86802,1452117
87404,156314
87877,2022193
87877,1929479
87950,110883
89218,104790
89218,91630
89218,124225
89218,130332
89296,157233
89296,2071927
90044,195941
90564,108395
90564,146331
90564,97032
90763,117735
90763,169056
90784,2359271
30339,90970
90970,178100
91344,184953
91344,1466497
34997,91446
91630,104790
91630,130332
92436,219037
92436,180022
92436,1898642
92589,842039
92589,933381
92884,172303
93087,122059
93239,469964
93754,165480
93754,175073
93800,975440
93812,1018062
93812,740367
33836,94135
94135,1380998
94715,150305
74955,94715
94895,184110
62528,94895
95085,175441
95085,1706791
95085,1889274
85182,96058
96058,2345613
96674,1618430
97107,688433
97107,2384871
97183,2234027
97183,202742
97183,2367691
97183,186502
97330,2090601
97768,184110
97801,1114224
97801,775664
24822,97801
30979,97801
97801,1166179
97838,174753
97937,1128237
97969,1547363
97969,170316
98647,213329
98647,163362
98647,866736
98647,233789
98813,1500833
27073,98813
98813,1693403
98830,192487
98830,153201
99083,175907
99083,135505
99115,1897012
51862,99409
99565,170229
99627,121975
99627,1605732
99722,405331
99722,118128
99722,735794
99722,164166
100315,126869
100315,174708
100315,234285
100315,621020
100315,227406
100351,1853242
100638,310544
100638,123631
100638,1695708
101321,1046102
75377,101321
101321,521911
45887,101321
101964,197264
101964,1336098
101964,1250311
101964,2304225
102085,103613
102298,237450
102298,514035
102298,182725
102408,1143965
102408,192561
102642,1922911
102642,1436101
102642,2007670
102642,761794
102701,460754
102701,1492000
102866,1035393
103371,2356358
103371,203568
103371,418745
103371,1072066
88005,103522
103613,173678
52740,103712
103893,113716
103893,199364
104233,146331
104233,172683
104790,130332
105002,224101
106207,199188
106207,674634
106218,187082
106218,352305
106654,124225
30339,106654
106828,1256726
106967,1496727
107147,110883
107195,179220
107388,2386635
82849,107388
107388,2127859
107951,1048659
40161,107951
99323,107951
108076,2028437
108076,1801603
108343,161062
108343,323311
108473,146331
108473,172683
108473,187543
104233,108473
108786,472998
108786,1349547
108786,587270
72345,108959
108959,124225
109049,125352
109625,409036
109625,2416074
95094,109625
109625,171922
95094,110067
110131,163335
110131,171579
110201,2257390
4256,110201
110201,310739
110201,1170725
110201,1806539
110277,2307046
110456,1245028
110456,1446090
110456,2003508
110456,2311971
110456,1776303
110456,1603033
110477,164854
110477,169947
110794,2200848
110794,1726769
110794,157076
110794,1503449
110883,173922
110883,2136738
110904,2359271
110904,1805257
110904,163778
111828,179220
111828,262617
111878,1348029
111922,2425857
112007,1657218
112007,927108
112202,939383
112718,146331
73116,112826
105795,112826
112863,146331
112863,152523
112878,1496727
112878,136670
113092,130918
113259,219146
34105,113259
113259,432684
43394,113259
64231,113259
113597,2173161
113597,2405532
113597,1600080
113716,199364
113886,163778
114080,589276
114193,2391472
114193,792647
90754,114686
114686,2386695
87877,114749
114749,1929479
115224,198139
41482,115224
115224,136131
115230,927339
115366,168598
115849,2186708
115849,1072066
116162,592771
116320,1785374
20014,116320
12047,116447
116447,1279488
116447,940957
116447,856940
117094,2159144
117245,1223385
14612,117245
117245,2376206
117379,2072713
50115,117519
23325,117538
117538,126950
117538,1032481
117735,169056
118128,164166
33235,118128
119100,188315
119418,2359280
119696,874361
119696,2421528
119696,1676648
119696,175665
119717,1022597
119799,163355
119961,152850
119961,179106
120074,2337259
120074,192561
120074,862167
120187,2404177
120605,1692762
120605,124225
120888,534637
120888,1348158
120888,2083477
121831,1280642
121836,1139541
121836,140410
121836,950409
121975,144272
121975,204370
95094,122059
29854,122059
122835,160363
122835,190319
41042,122835
78604,122835
123339,126115
123339,179776
123339,178051
76784,123631
123631,1379982
123631,1936607
123631,310544
123631,1695708
33836,124351
124351,418745
80402,124351
124351,2440082
84737,124843
124843,142973
125045,206490
125216,167429
125307,179220
125768,130894
126115,161999
126239,619441
126239,1018399
126239,1865952
126239,150439
126869,174708
126869,234285
126869,227406
126869,621020
126950,149718
126950,161999
127459,1084142
128445,152743
41675,128445
128522,1671291
128522,171866
128552,2397419
128552,977116
128552,1436435
128833,553661
128833,2343525
128833,2172742
128833,163937
129479,918163
130364,1110054
130364,1505451
18748,130620
130620,187106
130886,229106
130894,187958
131245,1133639
131245,450833
60700,131245
131245,166233
14455,131393
131440,997759
131440,177928
23325,131650
132543,1293279
132543,1548017
132543,554453
132596,1902320
132899,173847
106218,133333
133403,1665613
133531,206033
133718,146331
97838,134481
134481,194600
134541,2137800
134882,343805
134888,144878
134899,245182
134899,2013613
134899,1197434
134899,183993
17147,134899
135237,1788068
69892,135289
55730,135413
135505,153433
135505,950872
135505,164249
135884,878004
135884,348739
136131,207397
41482,136131
136131,211749
136131,1604497
136131,1081148
136463,671458
50284,136659
136659,1080048
136670,1496727
136670,180345
136827,1897577
29582,136827
136827,1324752
136827,1669023
136827,1809661
137145,209534
23325,137145
66734,137145
137271,1551394
137271,609511
137271,1785863
137687,186740
99565,137722
137722,152250
137946,614490
137946,183108
138075,140810
138290,1955898
138290,1491148
37843,138290
138290,478566
120074,138589
97937,138917
139721,2366939
78604,140121
140121,197539
140121,1902453
67428,140121
140410,1139541
140410,757673
141021,1699591
141021,1991404
141021,1492065
141021,1587946
141414,1145894
141414,606259
141414,544528
141993,2101447
141993,2143444
141993,179220
141993,2411046
141993,2379957
91854,142295
142295,187581
142493,2222384
142493,981389
68450,142876
142930,2356358
142930,203568
142973,150439
74955,143207
143323,229981
122297,143323
86571,143323
144178,1719466
144178,2291889
144272,204370
144272,540624
126950,144295
105231,144295
144567,216313
144567,608340
144567,842648
144813,192389
145238,1880016
145238,147231
145265,177749
80775,145265
145265,1518921
145312,161866
145955,1391592
145955,2162575
146235,2094823
146235,329586
146235,691593
146331,179510
146402,233573
33691,146753
146753,855319
122509,146753
146983,175213
147231,1880016
147231,150439
124225,147846
147846,191129
147846,174460
147846,1738034
147970,1404459
148532,1897012
148532,564861
148571,1592577
148640,2421298
148640,792995
148775,170229
148775,166836
99565,148775
148922,2336643
148922,1223249
149548,189575
146331,149556
149556,195339
104233,149556
149851,157438
149851,192498
149851,190053
149851,211148
149872,169807
149872,156314
143207,150305
150305,214565
150376,1910804
150773,179220
33836,150773
150773,262617
111828,150773
67428,150961
78604,150961
124225,151306
151427,2141783
94135,152081
4686,152081
60027,152081
152081,1380998
76784,152081
33836,152081
97935,152081
140121,152313
152523,2082023
152639,546484
152639,1129802
152639,631273
152743,2412400
41675,152743
152850,179106
152857,154215
152889,2096414
152889,2034254
153041,2356358
153041,1282440
76740,153041
153056,612021
153056,1138362
74018,153056
153118,1715780
153118,2141521
153201,192487
153433,164249
153433,175907
153453,177775
153510,253659
153510,1921073
153510,887619
153972,1227377
153972,1055628
153972,1357173
154215,163308
154215,155000
154285,157076
154307,205167
155000,662050
152857,155000
155000,163308
155041,2412464
155234,1300156
155234,2117574
155234,242451
155572,2426744
155572,2287471
155572,2105928
155572,266496
155755,2016628
155755,1632801
155755,2168046
155759,1350445
155759,430793
155889,2061969
155889,202035
83564,155889
155889,2157982
47560,155889
124225,155898
156314,1341282
126115,156365
156365,161999
76227,156365
156504,785358
156504,2377917
156504,1944378
157076,1503449
157076,2200848
157076,1726769
157233,2071927
157438,192498
157438,1321688
157438,190053
157438,1980837
157438,211148
106218,157438
157615,2259138
157615,2178345
157615,731011
157615,1388231
158267,2399101
37484,158267
158267,168961
158267,199263
159587,1832465
160363,190319
148775,161381
161644,2193918
78261,161644
161866,170068
161866,375353
18931,161866
20493,161866
97032,161867
162289,1517216
162289,1368043
146331,162298
112863,162298
123645,162298
97032,162298
152523,162298
162354,2388818
162354,2371874
162354,184110
56028,162398
162398,187395
162398,1640083
10506,163057
26048,163057
152857,163308
163335,569563
163335,171579
163335,497788
163355,2005048
163362,233789
163517,164645
163524,1741465
163524,199191
163524,2384418
163603,541244
56028,163603
163603,254581
163937,2172742
163937,553661
23325,164166
164166,2369920
161999,164166
85995,164166
164193,186034
164193,2120591
164193,2432364
150439,164249
164249,175907
164260,174753
164645,187633
29141,164645
164645,1491575
164645,2058122
165293,1954790
165293,2157848
165480,175073
153201,165752
98830,165752
165752,192487
60700,166233
166433,644524
166433,541894
166433,930285
166433,197142
4836,166433
166433,248867
166444,903022
166444,1424306
166444,2174140
166836,2127859
166836,170229
41675,167321
152743,167321
47638,167429
167696,2141109
167696,2294463
167696,175598
168961,199263
169036,172683
169039,220412
29582,169056
169172,1084858
169172,176533
169172,2058681
169172,838909
5652,169549
169549,194597
169677,1787942
87404,169807
164854,169947
20493,170068
170316,2347360
170316,1547363
92040,170758
170758,1501586
171436,894926
171436,1121726
171436,198585
171436,1612601
171436,289051
171579,497788
171579,569563
171866,1517894
171866,1671291
95094,171922
172240,2107843
172240,655767
25672,172256
172416,2066486
76227,172416
172416,1392997
172416,256154
172635,200807
172635,2240529
172635,697208
102085,173678
173678,1072066
174460,1704984
174460,1738034
174708,234285
174708,227406
174708,434128
174753,188054
175073,1431550
104450,175294
175294,2442373
40513,175400
175441,1420847
175441,1706791
175598,2294463
175665,759739
175665,486354
175665,874361
175843,231617
176129,185235
176129,592980
176239,1327372
176603,1697795
176603,1113116
176969,225239
177170,1970963
85059,177170
83504,177170
177775,1871706
177928,1035393
102866,177928
126115,178051
161999,178051
124225,178100
178100,1684797
178100,230229
178100,1134257
178900,2416276
178900,180367
178900,1950607
179106,210112
179220,262617
124225,179332
149556,179510
76227,179755
169549,179755
126115,179776
180068,1012575
180345,1496727
86726,180345
30339,180345
15477,180345
180345,333805
180367,1950607
180367,2141388
180966,1633864
180966,694135
45365,180966
13161,180966
161999,181152
181748,769960
181748,2439672
181748,2127321
181786,1081148
181786,198139
41482,181786
181786,211749
181786,227709
183108,614490
183151,878505
183151,649553
95147,183196
183325,744048
183624,1785374
183677,2043694
183677,864441
183677,1991217
183685,1200749
183685,406114
183685,1041551
183685,199188
183685,204795
183781,310544
100638,183781
183781,1936607
123631,183781
183847,1785374
183624,183847
67428,183847
183974,2318932
148775,183974
170229,183974
183993,1645723
183993,245182
185134,1350308
185134,830047
185235,592980
185235,1761174
185235,993621
186034,2120591
186034,2432364
186502,252949
186502,202742
186502,2234027
186747,1382978
186748,852171
186748,349734
186957,575777
186957,1285556
4256,187082
34105,187082
69158,187106
57643,187106
18748,187106
187214,2010905
187214,1008996
101700,187243
146331,187526
179510,187526
187543,1719003
14612,187543
97838,188054
188054,194600
164260,188054
188980,2366243
188980,1153410
188980,1312209
189411,1022597
189820,1692875
108395,189820
189827,2268168
190053,192498
78604,190319
190332,1789929
191027,1916630
191027,472571
191129,228247
124225,191129
105002,191208
191520,1405891
75377,192196
192389,2254575
192389,1418353
192498,1980837
122297,192572
193221,2435143
193221,1719110
193285,417943
193285,1987803
193427,1085373
193427,195941
90044,193427
193427,1389609
193913,764121
193913,200951
60746,194573
194573,1916630
97838,194600
194631,410483
194941,417943
195325,519593
195325,1110941
75377,195325
146331,195339
104233,195339
195619,460144
86726,195619
195908,672243
4294,195908
195908,465597
191129,195908
195908,1280783
195959,1692762
124225,195959
136131,196004
41482,196004
196004,213575
196097,1514973
196604,662050
154215,196604
155000,196604
152857,196604
163308,196604
197019,1415869
197019,2442038
197142,930285
197142,541894
197142,644524
197142,248867
197264,1336098
197264,2304225
197264,905338
78604,197539
95094,197539
171922,197539
67428,197539
198585,1121726
198585,894926
198585,289051
198585,1612601
199188,204795
31887,199188
199191,592763
199191,1741465
71184,199512
199512,619971
199512,1966940
199539,1868985
199539,1608938
199658,1936607
199806,670155
200062,1827144
172683,200062
104233,200062
108473,200062
200645,1072066
200645,2209247
200807,2240529
200807,2390909
200807,697208
200951,764121
201512,939383
112202,201512
201512,1679959
202288,693351
33836,202288
202288,273703
202288,1765960
202742,2234027
175610,202922
202922,584360
33093,203381
203568,2356358
203568,2209247
203804,1544705
203804,788669
203804,572257
204370,540624
204370,1985431
204370,308126
205123,238313
205167,1349975
206033,922829
206220,1232765
206220,2064285
10530,206220
97032,206220
207397,211749
207397,1604497
207445,2282739
207445,262253
207445,1628173
207580,396002
45417,207580
207580,1991458
146156,207580
6343,207580
208239,1038612
208239,1320798
208239,2215910
208239,289358
208239,2052391
208862,321767
208862,929971
198139,208862
207397,208862
23325,209534
149718,209534
76227,209534
6245,210112
210112,2416276
210134,1706791
191129,210234
101321,210234
45887,210234
210459,1487529
210713,2049277
210713,354774
210713,868740
210713,1717710
211148,1017548
211148,1321688
192498,211148
190053,211148
211731,2336784
212526,2116777
40343,212526
212526,1729983
213329,233789
163362,213329
213329,866736
213575,448962
213575,2383501
214565,1670337
214565,303174
214565,1643784
215245,231617
215630,1722253
215630,412546
17316,215630
215630,2193918
215907,2350204
215907,463641
149718,215907
215907,2399096
45384,215907
66734,215907
4256,216313
216313,842648
216313,608340
216362,1643784
217766,1368043
8059,219037
219037,1898642
180022,219037
43394,219146
34105,219146
135505,219285
150439,219285
153433,219285
219397,2423677
219397,1867204
219397,616036
219397,624301
219397,1468102
219789,744048
219789,863443
183325,219789
219975,1916630
152743,220535
220535,1104592
220535,2412400
62884,220535
167321,220535
221282,356310
221344,2366144
221344,1873556
221388,877955
221518,735875
124249,221684
221699,316527
221699,2074433
221699,2177813
147970,221699
221699,1370056
222551,1827955
222551,1117105
222551,2289729
222928,1380998
33836,222928
222928,418745
223496,1735097
126115,223496
223858,1823050
223858,990527
183325,223858
50161,224101
44534,224103
224103,1929501
224383,2224578
224383,1072635
224383,1306251
224544,2022226
225104,304990
225104,1672794
225104,1516965
10457,225239
225239,1006577
225239,2305284
227406,234285
136131,227709
207397,227709
211749,227709
227945,2429504
45887,228247
228635,1286645
228635,2371244
228635,1700501
228635,1673652
228635,1602179
228663,636754
124225,228839
194600,228959
97838,228959
188054,228959
146331,229305
104233,229305
229305,1956736
90564,229305
229305,2182785
179332,229443
188315,229477
133718,229477
140121,229477
78604,229477
229879,1675248
122297,229981
86571,229981
230229,1684797
230497,2010905
52578,230525
230663,2167682
230663,303235
230663,2058027
114191,231617
232296,1057083
232296,1232768
232296,1622580
233517,1929501
233517,880778
44534,233517
23269,233573
233573,576980
234010,1992014
234010,2249490
80402,234010
234010,789029
234010,1084142
120372,234010
47560,234010
234010,1554096
234091,2038956
234628,813703
234628,1630024
234628,1440531
62612,237450
238247,1623726
238247,1507940
238313,2063603
238313,254900
137722,238791
97937,238791
240055,539046
241975,903022
242026,1616310
23842,242026
242026,1382709
17012,242026
242026,1582442
242451,2117574
242451,1040378
242725,945285
242725,1289093
242725,2249628
242725,673599
43636,242987
242987,2446320
242987,2356486
242987,1743679
243375,1415872
243375,2357367
243375,1260328
243375,1796365
243375,1330385
244958,259121
244958,2267184
244958,821774
244958,1214217
245182,2013613
245182,1218789
245182,1197434
245182,1645723
245309,1448305
245309,687849
245309,2183697
245309,1950124
248867,930285
250571,1942065
250899,894287
252670,2237612
252670,1333305
252670,2156704
252949,2138587
42618,252949
252949,934647
97183,254326
254326,2367691
254326,2234027
254403,1970963
254403,1652753
254403,2346540
254403,392299
254581,541244
76227,254581
254679,1917407
254679,2251152
43444,254900
205123,254900
187958,254900
254900,2063603
255743,1331298
76227,256154
256154,2066486
256154,1032588
257392,937648
257392,1067003
257392,1675858
259016,1609785
259121,1214217
259121,821774
259121,1842147
259121,2267184
259553,1456094
259861,1222562
63203,259861
259861,2260226
259861,1934572
16148,259861
259895,2336643
259895,1223249
148922,259895
70508,259895
260047,2188425
260047,1254365
260047,692607
260047,1176747
260047,1867859
260549,1883241
260549,262080
260549,2135107
260881,1335122
260881,1789929
190332,260881
260883,2149958
260883,1508080
260883,1113116
260883,1697795
260883,1836106
262080,1883241
4836,262080
262080,1257367
262080,2135107
262253,2282739
262253,1628173
95421,262253
109625,262354
262354,2416074
262354,409036
95094,262354
122059,262354
125307,262617
264601,2058375
264601,2296203
264601,285763
264741,2320463
264741,443636
264741,1522645
10115,264872
122059,264872
264972,2127321
264972,2439672
265617,2283917
265617,1736016
266229,470068
266229,787872
266229,1517331
266496,2426744
266496,2287471
266496,2105928
266496,1679672
105795,266588
266588,1932064
266872,2217014
266872,1340387
266872,2310008
267180,284618
33093,267180
267180,1110941
195325,267180
269433,2060230
30979,269433
269433,1166179
269433,1114224
270058,1506704
270645,862252
270645,2330623
272536,508675
272536,2356358
33836,273703
273703,1765960
274283,2299608
274302,1009439
53392,274302
274952,1849201
274952,839195
274952,944636
275448,787557
275448,1149106
87877,276716
276716,2022193
276716,1929479
191995,277138
277138,2130114
277719,576980
279511,1112000
279511,1282440
153041,279511
35547,279597
280362,1847243
31887,280855
280855,670155
281063,2077111
281519,1774008
281519,354120
109395,281519
44817,281519
281721,2167252
281969,2327577
281969,1323303
11352,281969
281970,2073371
281970,1614568
281970,2134260
68591,281970
281970,1039900
282411,2028511
184110,282411
282411,1164179
169807,282808
87404,282808
149872,282808
156314,282808
282808,1341282
87877,283152
283152,1929479
195325,284618
284618,1110941
33093,284618
221684,284618
285774,1153410
285774,2366243
285774,891447
286286,939383
286286,1679959
286286,1807333
286961,408475
287890,321368
287890,735835
287890,1143966
287890,687077
287890,521963
288915,2170416
288915,2095403
289051,894926
289051,1121726
289358,2215910
289358,1038612
289358,2052391
289358,1320798
291962,680952
291962,518159
291962,1190312
291962,1477072
291962,690103
292040,1018185
292040,2444048
292040,1848019
292040,2265872
293174,2062766
293628,2133421
124225,293628
293632,998555
295077,558276
295077,1670124
295077,1409330
295077,1850516
295875,1003572
295875,585765
298976,2334914
298976,2437917
299418,1213634
112878,299418
124225,299418
300246,1960336
300246,1053599
300988,406105
300988,1792009
300988,2024226
300988,1307996
300988,2197999
301092,1755844
301092,1243048
302163,1321161
119961,302504
303174,401381
303174,1670337
177218,303174
303235,2058027
303235,2167682
303235,1719294
303847,1990138
303847,2250399
303847,2246703
51862,303863
303863,1862478
85283,304838
304838,1088984
137145,304838
304838,2384785
304990,1672794
305117,1659313
305117,693351
305117,1694531
305117,2249490
305117,2089068
127459,305117
305117,1132082
144272,308126
308126,1985431
308126,540624
121975,308126
308539,2344208
308539,1605732
99627,308539
146156,308539
308539,1793414
308539,2303501
308789,1970963
254403,308789
308789,1652753
310014,2421279
310544,1936607
310544,1379982
310664,509295
310664,778503
